"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fam83d",31.3751002802048,5.33627489925582,0.736802277059468,7.24247883781327,4.40557198971607e-13,7.23600111735557e-12
"Mmp9",88.9032409241055,4.06497516249162,0.562841364819741,7.22223954487334,5.1138286625979e-13,8.28578454926335e-12
"Plxdc2",30475.0172212785,-0.67797732537036,0.0940423514884576,-7.20927661462796,5.62498925391752e-13,8.99248282059614e-12
"Npdc1",2511.35208919467,-0.548588874131904,0.0761837444508659,-7.20086519881826,5.98316771808146e-13,9.43923433418379e-12
"Msrb2",400.82880042478,-0.80628233352668,0.112432698215994,-7.17124418714682,7.43192051890089e-13,1.157256195086e-11
"Mfap1b",2240.50352928288,-0.407722136408015,0.0574576640767629,-7.09604441738708,1.28378232904123e-12,1.97340386220568e-11
"Acss2",821.12872502567,-0.552496234935355,0.079053637294829,-6.98887810658011,2.77093027052848e-12,4.20550049919448e-11
"Dok5",48.1221989954039,1.90968464511541,0.274011749328522,6.96935313830584,3.18401555865349e-12,4.77204331853192e-11
"Ppip5k1",998.693857726972,-0.629672125760057,0.0904739340111886,-6.9597075958053,3.40979716383087e-12,5.04734172769532e-11
"Zdhhc5",2922.54093813182,0.387486182781696,0.0557727372893836,6.94759127154145,3.71575669180986e-12,5.43316130912198e-11
"Nnat",206.095759491823,1.63501309422727,0.23563126851868,6.93886301468367,3.95268170884309e-12,5.70995827578658e-11
"Fbn1",63310.9427293768,0.714557426683238,0.103292837906708,6.91778288954177,4.58766649938657e-12,6.5483477771006e-11
"Mfap1a",2677.66839933489,-0.372359156548382,0.0540612500096505,-6.88772746619644,5.66906829445502e-12,7.99672104123714e-11
"Bmp2",216.062326047788,-1.16665603399702,0.169804911182417,-6.8705670870951,6.39471816444608e-12,8.91542683624517e-11
"Ryr3",88.3034782963267,-1.67674136642439,0.245911406034245,-6.81847740804218,9.2010441793244e-12,1.2680519506908e-10
"Col5a1",37296.8106827663,0.810555284026898,0.119329791769175,6.79256430443445,1.10157687189958e-11,1.50089848796318e-10
"2700094K13Rik",377.74902681116,1.36865708514368,0.201864095415274,6.78009173611623,1.20099598558026e-11,1.61797099630419e-10
"Psmb7",1678.21263935805,0.43729466690419,0.0646675841637164,6.76219272080905,1.35918734392561e-11,1.81073958374089e-10
"Helz2",3998.01896517999,0.754181755506677,0.112187310948001,6.72252279811074,1.78604781438983e-11,2.35326519720154e-10
"Pigt",2395.86126540128,0.515065424196603,0.0769256858248506,6.69562342764596,2.14754094690295e-11,2.79880608188764e-10
"Set",2714.49395130943,0.833421102970034,0.124872531136691,6.6741748195825,2.48627101948143e-11,3.20541822834219e-10
"Slmo2",620.177561060085,0.548874971260877,0.0824379346663182,6.6580388444051,2.7750544323217e-11,3.53967049399332e-10
"Slc20a1",995.766769430324,0.731862898159446,0.112161406727701,6.52508665423766,6.79622309908170e-11,8.57754894294628e-10
"1110008F13Rik",983.451705465617,0.437093793178736,0.0671141797173108,6.51268919652752,7.38171475507928e-11,9.21945415764589e-10
"Ntng2",488.480655680253,-0.798384781010091,0.123013230811394,-6.49023504011687,8.57025645479345e-11,1.05935438033993e-09
"Ptges",4349.38195538383,0.52762683761107,0.0815459608171172,6.47030008996248,9.78084749417866e-11,1.19665674954288e-09
"Tpd52l2",2254.79641043338,-0.304190239112808,0.0473069669287324,-6.43013616939485,1.27489684206996e-10,1.5440417309514e-09
"Snhg11",61.5968484051057,-2.04965138591152,0.319212660290234,-6.42095894331991,1.35418551183197e-10,1.62366842868653e-09
"Lzts3",681.667028977718,-0.534656322560662,0.0835162321475622,-6.40182523579363,1.53530348066222e-10,1.82260284486535e-09
"Itih2",222.039640969265,-1.3060334025657,0.204083547132553,-6.39950363915144,1.55882865484196e-10,1.83238780113285e-09
"BC005624",1182.60541823071,-0.319808166214279,0.0500583437150173,-6.38870850451926,1.6729260628571e-10,1.94741587317055e-09
"Osbpl6",439.456619492541,-0.506978018955123,0.0798572023164981,-6.34855722776032,2.17343586461756e-10,2.50572077084275e-09
"Pofut1",3147.04579228883,-0.370407344069617,0.0584168321944285,-6.34076395715521,2.2862859788753e-10,2.61072084635379e-09
"Nudt5",285.511064471704,0.754083858639921,0.11958401894656,6.30589158386545,2.86539566253364e-10,3.24114094280927e-09
"Scn3a",4379.65269205967,-0.78510795486977,0.12479329354617,-6.29126720322758,3.14884772722741e-10,3.52847516350062e-09
"Grem1",272.494177319261,4.37890912247102,0.696680226873502,6.28539314532047,3.27025035090029e-10,3.63058349141615e-09
"Sapcd2",17.4837486570156,8.22428056983083,1.30905050976936,6.28263043209835,3.32891767928917e-10,3.66180944721808e-09
"Ypel4",107.219353117996,-1.51148910357688,0.240776073876735,-6.27757185022745,3.43901355370016e-10,3.74852477353317e-09
"Hspa14",837.46251174464,0.425150141965608,0.0678440547847447,6.26657919127213,3.69065735889875e-10,3.98657493091856e-09
"Phf19",89.5043521625886,1.72274527531029,0.275195859152347,6.26006975765065,3.84805302259766e-10,4.11947819115588e-09
"Entpd2",3035.34642235454,-1.27023271950307,0.203193608802505,-6.25134189499864,4.06940928027093e-10,4.317895333668e-09
"Spred1",2295.69612238591,0.390107068918789,0.0624872770390129,6.24298397056462,4.29300912016256e-10,4.51519117111835e-09
"Pltp",4929.31029540201,-0.409043903455045,0.0659158559722088,-6.20554641098046,5.45071819006924e-10,5.63397509473536e-09
"Zak",2964.09347986766,-0.354488838131799,0.0571123943458692,-6.20686353972548,5.40524939057205e-10,5.63397509473536e-09
"Sestd1",2157.08846526184,-0.35726817182515,0.0577237251799352,-6.18927781794195,6.04404778153401e-10,6.19385751287118e-09
