"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Psmd14",1042.55231190309,-0.697152716011345,0.0853167421487875,-8.1713471289791,3.04964761229271e-16,7.31305497427792e-15
"Arhgap1",4008.14613266517,-0.416145596572908,0.0521170486206065,-7.98482660831966,1.40719962778934e-15,3.30829873278318e-14
"Mafb",1086.64289833199,1.18427383819125,0.149836866069227,7.90375472511618,2.70625290280322e-15,6.23999467396359e-14
"Mastl",62.3522777404561,-3.28092436635384,0.416922049414746,-7.86939518060854,3.5635984384692e-15,8.06180099570674e-14
"Mybl2",84.6113250535479,-3.06030414700096,0.391576264843499,-7.8153463878207,5.48120858472105e-15,1.21703131353343e-13
"Nusap1",91.495904428825,-2.36318569480664,0.305459354143416,-7.73649804057761,1.02192557785735e-14,2.22779775972903e-13
"Cdca7",102.413010230337,-2.37279031978688,0.309454931846165,-7.66764422086004,1.75183998192331e-14,3.75081453272509e-13
"Plxdc2",30475.0172212785,0.721059019514749,0.0940674713534628,7.66533860366393,1.78360024322127e-14,3.75181875723211e-13
"Rpl12",10524.7879831685,-0.596872141735537,0.0779933110152518,-7.65286322590942,1.96552939840976e-14,4.06322370464362e-13
"Caprin1",5156.30465987512,-0.569986457423554,0.0753608704929247,-7.56342719630697,3.92585587821085e-14,7.97813762368612e-13
"Soga1",8925.41916526934,0.661146525784147,0.0874576759522875,7.55961690709498,4.04258209411558e-14,8.07842655140764e-13
"Il1rn",48.573527504289,-9.24817284013961,1.22453824729213,-7.55237564901745,4.27389643798909e-14,8.40065873630971e-13
"Ube2v1",2811.20846541564,-0.342686914812464,0.046344025741431,-7.3944140443135,1.4203319698685e-13,2.74673876108441e-12
"Otud1",670.797419788528,0.746059829076243,0.101394408806524,7.35799772253558,1.86689230568125e-13,3.55302202303463e-12
"Scn3a",4379.65269205967,0.917022831600468,0.124893589112995,7.34243317141614,2.09745260668409e-13,3.92944636783473e-12
"Cat",2654.68373835586,0.308195879841451,0.0420463403786937,7.32990973924629,2.30307792069392e-13,4.24829296448002e-12
"Psmb7",1678.21263935805,-0.479448680581165,0.0656064748251589,-7.30794760515474,2.71253512687123e-13,4.9277721471494e-12
"Eif2s2",2001.69349347312,-0.470858408938156,0.0655886317001739,-7.17896374314678,7.02417689953192e-13,1.25701314963265e-11
"Itih2",222.039640969265,1.46878644690726,0.205036999886649,7.1635190122722,7.86319514388294e-13,1.38646632022289e-11
"Helz2",3998.01896517999,-0.795657750943164,0.112457733029882,-7.07517152894894,1.49264015610388e-12,2.59373267705588e-11
"Phf19",89.5043521625886,-2.01441388439333,0.285353416139092,-7.059364880396,1.6726533169472e-12,2.86501618145671e-11
"Zak",2964.09347986766,0.405438725296496,0.057524558931347,7.04809793987937,1.81379963187904e-12,3.06302219524362e-11
"Dsn1",85.2571973982357,-1.92509796480272,0.274201076361456,-7.02075276416868,2.20676045741236e-12,3.62452847731153e-11
"Lamc3",1763.27512339535,0.885867418519006,0.126145373247741,7.02259144121935,2.17790372492547e-12,3.62452847731153e-11
"Trp53i11",317.833844066453,-0.827541846021008,0.118072353049482,-7.00876898484608,2.40424042580983e-12,3.89551928452161e-11
"Lzts3",681.667028977718,0.591433458273009,0.0846123231093339,6.98992104860155,2.75040977249549e-12,4.39698842296279e-11
"Sestd1",2157.08846526184,0.401431492411977,0.0582814124050463,6.88781338417287,5.66564645977881e-12,8.93830277009841e-11
"Gorasp2",4086.53135178584,-0.292865310068169,0.0427929998230595,-6.84376676744113,7.71374737032766e-12,1.20114066195102e-10
"Slpi",32.0791130695604,-5.05629925294788,0.739728227860938,-6.83534717550134,8.18066672768034e-12,1.2575153085242e-10
"Trmt6",381.336753462771,-0.664544906297249,0.0974169222630923,-6.82165778654476,8.99958472444619e-12,1.36588633982417e-10
"2700094K13Rik",377.74902681116,-1.38793206017408,0.203661365465299,-6.81490108348784,9.43286470340134e-12,1.41375059742228e-10
"Samhd1",3981.16373484888,-0.782725737517842,0.115188646916367,-6.79516391998371,1.08189444570167e-11,1.60147091406951e-10
"Fgf7",3252.06073754898,0.522441598600298,0.0770919505523762,6.77686314663101,1.2281311734358e-11,1.79576741091406e-10
"AA467197",26.7887627451973,-7.02892442387209,1.04375687439882,-6.73425449573264,1.64772557618278e-11,2.37651465454529e-10
"Msrb2",400.82880042478,0.768353332663393,0.114121897994501,6.73274232347955,1.66494771461055e-11,2.37651465454529e-10
"Rpl7a",12197.0117764304,-0.418340548646403,0.0624245291675646,-6.70154111252425,2.06232813707491e-11,2.90909580747391e-10
"Stom",813.669017563693,-0.79903505144221,0.119272928228912,-6.69921551610336,2.09541367664096e-11,2.92139650964246e-10
"Sqrdl",2591.56508092945,0.429858466316793,0.0643791240150015,6.6769853255013,2.43907361671729e-11,3.36143593844142e-10
"Vim",54833.395886656,-0.361237282856144,0.0541328982511894,-6.67315614951776,2.50359755153406e-11,3.41115166396515e-10
"Bcl2l1",1533.06192270085,0.309663218656957,0.0464664549258654,6.66423163012988,2.66053578479135e-11,3.5842498943425e-10
"Prnp",3796.14543240854,0.53803566777538,0.0808443530253137,6.65520407599665,2.82907229506551e-11,3.7689529797595e-10
"Zdhhc12",155.546624542867,-0.916320668942442,0.138042387881226,-6.63796593935232,3.18041328793014e-11,4.19045662882224e-10
"Pbx3",289.310206172851,-0.97023587741957,0.146638954234278,-6.61649479489245,3.67815819171764e-11,4.74205556114995e-10
"Bmyc",482.794349868434,0.709188975726917,0.107167607327002,6.61756843710209,3.65155184397838e-11,4.74205556114995e-10
"Ddrgk1",1978.59501965441,0.461757956726166,0.0698806608841611,6.60780752333764,3.90053347977239e-11,4.97525493856074e-10
"Uck1",1558.40383770877,0.583997707093206,0.0891054108611312,6.55400947539935,5.60124105077372e-11,7.06935581039758e-10
"Pofut1",3147.04579228883,0.38454537148105,0.058835454920894,6.53594625890259,6.32086109635249e-11,7.89449214013192e-10
"Atp9a",1256.03567245222,0.604202316693716,0.0931385444110345,6.48713505793347,8.74839127132206e-11,1.08137331281599e-09
"Fam83d",31.3751002802048,-4.52221399706443,0.697355186210859,-6.48480729258827,8.88452689572355e-11,1.08699466816046e-09
"Angpt4",157.119468927375,1.10216822045917,0.171217582762837,6.43723736005457,1.21667595236053e-10,1.47352976452554e-09
"Hspa14",837.46251174464,-0.44537840831364,0.0694337166813562,-6.41443998104785,1.4134145981528e-10,1.69468410318521e-09
"Apip",434.731977447511,-0.572318009234492,0.0895142609740942,-6.39359586960254,1.62029326723092e-10,1.92349666080186e-09
